group,variable,value,nickname,university,year,datestarted,mayor,degree,hobby,canvas,kthsocial,facebook,learnings,courses,thesis,fiveyears
S1,Q1,3,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S1,Q2,3,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S1,Q3,4,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S1,Q4,6,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S1,Q5,8,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S1,Q6,6,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S1,Q7,5,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S1,Q8,3,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S1,Q9,3,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S1,Q10,5,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
